rank,channel,total_clips,affected_by,sued_over
22624,cocina con desiree,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22625,schausix,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22626,OshaTV,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22627,BooCoo Brands,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22628,Beowulf Builders,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22629,AllBlackFans,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22630,spbhobby ru,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22631,Total Outdoor Programming,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22632,Junior Balla,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22633,Scott and Allison Fratcher and Thompson,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22634,Cambridge Pavers,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22635,Chef Roger,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22636,Recetas faciles,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22637,TheFlipGroupMedia,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22638,AGILA Haustierversicherung AG,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22639,iKidrauhlsWifey,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22640,Kuvings Australia,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22641,English with Andrew,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22642,DailyPhoneBuzz,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22643,BroSep,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22644,DreamWorksTV Deutsch,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22645,ERP,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22646,Angie's Pantry,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22647,Diego - V,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22648,Crystal Flames Origami,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22649,Angel Georgiev,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22650,Mental Toughness Trainer,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22651,Its Beany,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22652,Little Eden Organics,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22653,WelshDragonDSG,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22654,Caleb Eastman,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22655,The Avenu,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22656,Robert Sedgeman,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22657,ShortCourseWorld,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22658,Lightning Lane,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22659,The Royal Highland Education Trust (RHET),1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22660,The New 8-bit Heroes,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22661,Webike (ウェビック),1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22662,prankinyou,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22663,Team 6210X,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22664,Geethanjali - Yoga,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22665,chrisstahmer,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22666,Spring TX Preppers,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22667,Homestead Dad,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22668,castellhowell,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22669,Library of Arabic Literature,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22670,피닉스youtube,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22671,Jaybee,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22672,Married with Dogs,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22673,MikaCookies,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22674,iamLindaElaine,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22675,Tender At The Bar,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22676,Викинг,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22677,MichelinBenelux,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22678,UnChainedLP: Сергей Лав,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22679,BlackBerry QNX,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22680,Spencer Shortwave,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22681,Clubit,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22682,Sodimac Perú,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22683,RancH,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22684,HugeHappyFamily,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22685,Harry Miree,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22686,IntownBicycles,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22687,PowNiels,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22688,RosenPark Dräger,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22689,Dyna's Delicious Dishes!,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22690,TheBigPuma,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22691,HumbleCurls,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22692,Bulletproof,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22693,scholarscientists,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22694,Booya Gadget,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22695,SimplyIrishKev,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22696,Hustler Hacks,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22697,Unicas.pe,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22698,Camp Fish,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22699,SirHappyBob,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22700,Bowdabra,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22701,SharkNekton,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22702,FishermansHandbook,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22703,RussoMedia,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22704,Mountain Modern Life,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22705,MultiKillsHD,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22706,Programa Panico,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22707,Catholic Charities of Denver,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22708,Arlene Agosto,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22709,Neijann,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22710,PopularFabric . Sewing Classes & Designer Cotton Fabrics,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22711,MeatEater,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22712,AdamsTube,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22713,AdGeekStore,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22714,CanyonCreekVideos,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22715,Fallanon,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22716,Codcraft,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22717,uBreakiFix by Asurion,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22718,regiolive,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22719,Armaan Toor,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22720,Grady-White Boats,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22721,stencib,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22722,Lirik,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22723,Carolyn,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22724,Trichologist at Absolique,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22725,iovideogiochi,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22726,ThePlatinumBrick,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22727,CheckCatz,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22728,AlcibiadesisGnosis,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22729,Loja Info Fast,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22730,Golden Knights,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22731,US Army Parachute Team,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22732,LexxFab Beauty,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22733,Stephen Smith,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22734,MarketGloryEspañol,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22735,PoPtArTsyrup,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22736,Budget MTG Decks,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22737,Thequellu,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22738,FabiqMoto,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22739,TheAionGuy,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22740,greg copeland,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22741,Donovan Sharpe,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22742,The Unsigned Artist,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22743,Noreen's Garden,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22744,Qua la zampa,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22745,SadWolfPack,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22746,Guideposts,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22747,Artastic Nour,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22748,My Golf Tutor,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22749,Tiny Tuts,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22750,LPS HoneyFilms,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22751,Negative Nomad,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22752,InecredibleMinecraft,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22753,PregameTV,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22754,TheLocalScrubs,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22755,NintendoFanGirl,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22756,SirDjss,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22757,Alex Tanaga,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22758,Cerf Dellier,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22759,SubliminalRealm,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22760,Daniel Kopsas,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22761,Tricia Carr,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22762,Honey Bee Honey,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22763,Lalaloopsy Lover,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22764,oip_qio,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22765,Watchonista,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22766,AkkoniGames,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22767,MarleyThirteen,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22768,Speedyourmacup,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22769,Traci BeneathMyHeart,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22770,Farm Monitor,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22771,Quiet Demon,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22772,alexis Escala,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22773,NewTek,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22774,TheGreatMafu,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22775,Matecitos,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22776,Restaurantcom,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22777,wesexcellence,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22778,Il Legionario,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22779,dragonageorigins,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22780,Daniela de Oliveira,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22781,Barlow's,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22782,Dr. Vikki Petersen,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22783,Jordan,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22784,SampelBug,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22785,CassieDiamondVlogs,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22786,SteveGreeneComedy,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22787,ET Videos,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22788,Lithia Chrysler Jeep Dodge of Roseburg,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22789,Jon Mangum,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22790,Lmeagno,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22791,Sarah Perez,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22792,Henreek,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22793,bowlingballout,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22794,AccurateWayz,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22795,Manning Cues,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22796,Abiandfamily,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22797,PissedConsumer,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22798,Cardiae Zorales,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22799,Chuck Beams,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22800,ColdEdgez,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22801,Liquipups,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22802,Cacau Irônica,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22803,Maker's Tool Works,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22804,Muy Bueno,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22805,One Big Happy Life,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22806,Taytaywish,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22807,Bill Speare,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22808,Drunk Tarot,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22809,Video-Shoper,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22810,Car Briefing,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22811,L'argus du mobile,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22812,L'information Cachée,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22813,Phil Austin,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22814,Charlotte Center City Partners,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22815,Justees,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22816,Yes Man Watches,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22817,Wizhub,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22818,Sebastian Clarinete,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22819,Steven Star,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22820,Nguyen Vuong,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22821,Bob Anderson,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22822,TheBasketballDiary,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22823,EndlessBeautyVideo,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22824,MidwestSynthetic,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22825,Vixella,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22826,Heather Pickles,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22827,United Soybean Board,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22828,lovelynailsxx,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22829,Catherine Rose,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22830,SurferToday,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22831,Tessa Violet,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22832,Fizas Diary,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22833,Matthieu,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22834,JuicePolishes,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22835,Franz Wintersberger,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22836,The Spicy Apron,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22837,KitchAnnette,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22838,Kristina Amelong,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22839,MrPsychoBlayken,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22840,Allen and Andrew Go Exploring,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22841,Burness,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22842,Rina Santoro,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22843,Tom W,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22844,Foodies Can Cook,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22845,Nugroho HCS COMMANDO,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22846,LewisOliver Daniel,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22847,Caleta Nomás,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22848,🎣 FatBoy Dan's Great Outdoors 🎣,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22849,La Birra de Sesos,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22850,Life With CoreySSG,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22851,Ozark Rose,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22852,The Real Life Guys,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22853,Nin,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22854,Sean Cannell,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22855,Dave's House of BBQ & More,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22856,EZwithETHAN,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22857,Hudson Wisler,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22858,BathroomVanitiesHelp,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22859,J-Andres,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22860,도그홀,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22861,TomoFujitaMusic,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22862,Marcelo Tonella,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22863,Jeanette Pickering,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22864,Mega Mateo,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22865,Gamer Next Door,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22866,RMalayeri,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22867,Cityzen,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22868,BeehiveAcademy Katelin,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22869,Two Tired Teachers,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22870,Eugene O'Loughlin,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22871,Corner Fiprogame,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22872,Beckys craftsandgoodies,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22873,TheBryss,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22874,outranged,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22875,David Murray,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22876,Olga Kanunnikova,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22877,Даниил Белов,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22878,Andrew Hudson-Smith,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22879,Pinty Plus USA,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22880,Deeply Southern Home,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22881,KoelnIstEinGefuehl,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22882,TheBroncoGraveyard,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22883,Buteco para Garotas,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22884,petmaven,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22885,Pinky Polish,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22886,Purolator Filters,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22887,HIDILife,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22888,TheTechwich,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22889,SVRreels,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22890,thebestboatbrands,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22891,CA GROWN: California Grown,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22892,truckerdeluxe,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22893,SaltyGoat,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22894,CongoCash,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22895,Nestlé Toll House,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22896,Mermaid Matanzas,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22897,fairycakes,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22898,Aquos,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22899,Pauliojr,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22900,Brick Ginjah,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22901,Tabby Perry,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22902,Fatalsynergy,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22903,Lix Liz Lix,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22904,Renembrence,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22905,Rons Product Tests,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22906,TheMythus,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22907,Killer Shrimp,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22908,Павел Меньшаков,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
22909,wzkrefeld,1,"Meta (+ByteDance,Snap,Tencent)",HD-VILA-100M video training set
